"class","family","species","angle","mimicType","right","wrong","numPhotos","accuracy"
"Arachnida","Salticidae","Myrmarachne striatipes","Anterior","mimic",73,38,1,0.342342342342342
"Arachnida","Salticidae","Neon nelli","Anterior","non-mimic",73,0,1,0
"Arachnida","Salticidae","Neon nelli","Dorsal","non-mimic",70,0,1,0
"Arachnida","Salticidae","Neon nelli","Lateral","non-mimic",72,1,1,0.0136986301369863
"Arachnida","Salticidae","Rhombonotus gracilis","Dorsal","mimic",34,26,1,0.433333333333333
"Arachnida","Salticidae","Rhombonotus gracilis","Lateral","mimic",24,32,1,0.571428571428571
"Arachnida","Salticidae","Zenodorus metallescens","Dorsal","non-mimic",130,0,1,0
"Arachnida","Sparassidae","Holconia sp","Anterior","non-mimic",110,3,1,0.0265486725663717
"Arachnida","Sparassidae","Holconia sp","Dorsal","non-mimic",105,0,1,0
"Arachnida","Thomisidae","Amyciaea albomaculata","Anterior","mimic",103,10,1,0.0884955752212389
"Arachnida","Thomisidae","Amyciaea albomaculata","Posterior","mimic",102,21,1,0.170731707317073
"Insecta","Alydidae","Alydid3 sp1","Dorsal","mimic",99,24,1,0.195121951219512
"Insecta","Alydidae","Alydid3 sp1","Lateral","mimic",50,70,1,0.583333333333333
"Insecta","Alydidae","Riptortus abdominalis","Dorsal","mimic",58,76,1,0.567164179104478
"Insecta","Chrysididae","Chrysidid1 sp1","Dorsal","non-mimic",113,2,1,0.0173913043478261
"Insecta","Chrysididae","Chrysidid1 sp1","Lateral","non-mimic",121,3,1,0.0241935483870968
"Insecta","Coleoptera","Coleoptera2 sp1","Dorsal","non-mimic",43,6,1,0.122448979591837
"Insecta","Coleoptera","Coleoptera2 sp1","Lateral","non-mimic",56,1,1,0.0175438596491228
"Insecta","Formicidae","Camponotus nigriceps","Dorsal","ant",36,10,1,0.217391304347826
"Insecta","Formicidae","Camponotus sp.","Dorsal","ant",79,2,1,0.0246913580246914
"Insecta","Formicidae","Camponotus sp3","Anterior","ant",116,3,1,0.0252100840336134
"Insecta","Formicidae","Camponotus sp3","Dorsal","ant",108,0,1,0
"Insecta","Formicidae","Camponotus sp3","Lateral","ant",118,0,1,0
"Insecta","Formicidae","Crematogaster sp1","Dorsal","ant",117,1,1,0.00847457627118644
"Insecta","Formicidae","Crematogaster sp1","Lateral","ant",127,2,1,0.0155038759689922
"Insecta","Formicidae","Dolichoderus scabridus","Dorsal","ant",133,5,2,0.036231884057971
"Insecta","Formicidae","Dolichoderus scabridus","Lateral","ant",124,3,1,0.0236220472440945
"Insecta","Formicidae","Dolichoderus sp.","Anterior","ant",67,1,1,0.0147058823529412
"Insecta","Formicidae","Dolichoderus sp.","Dorsal","ant",66,1,1,0.0149253731343284
"Insecta","Formicidae","Formicid sp.","Anterior","ant",140,3,3,0.020979020979021
"Insecta","Formicidae","Formicid sp.","Dorsal","ant",320,9,6,0.027355623100304
"Insecta","Formicidae","Formicid sp.","Lateral","ant",686,27,13,0.0378681626928471
"Insecta","Formicidae","Formicid1 sp1","Dorsal","ant",116,1,2,0.00854700854700855
"Insecta","Formicidae","Formicid1 sp1","Lateral","ant",58,0,1,0
"Insecta","Formicidae","Formicid10 sp1","Anterior","ant",43,0,1,0
"Insecta","Formicidae","Formicid10 sp1","Dorsal","ant",41,0,1,0
"Insecta","Formicidae","Formicid10 sp1","Lateral","ant",53,1,1,0.0185185185185185
"Insecta","Formicidae","Formicid14 sp1","Dorsal","ant",106,2,1,0.0185185185185185
"Insecta","Formicidae","Formicid14 sp1","Lateral","ant",114,3,1,0.0256410256410256
