"Family","Genus","species","mimicType","Leg.III.Femur..width","Leg.III.Femur..length","Prosoma..length","Opisthosoma..width","Opisthosoma.height","Opisthosoma..length","Pedicel..length","Body.length","Prosoma.height","Improved.colour.score","Constriction.height","Constriction.width","Constriction.height.1","Constriction.width.1","accuracy"
"Salticidae","Rhombonotus","Rhombonotus gracilis","mimic",0.147540983606557,0.622950819672131,1.62295081967213,1.18032786885246,0.836065573770492,2.01639344262295,0.163934426229508,3.75409836065574,0.80327868852459,0.67,0.672131147540984,0.967213114754098,0.721311475409836,0.967213114754098,0.727797260081989
"Corinnidae","Serendib","Serendib suthepica","mimic",NA,NA,2.06201550387597,1.01550387596899,0.364341085271318,1.8062015503876,0.0852713178294574,3.85271317829457,0.534883720930233,0,0.410852713178295,0.813953488372093,0.364341085271318,0.643410852713178,0.213927297117219
"Corinnidae","Serendib","Serendib volans","mimic",0.174242424242424,0.583333333333333,1.53030303030303,1.37121212121212,0.886363636363636,1.81818181818182,0.424242424242424,3.78030303030303,0.674242424242424,0,0,0,0,0,0.230664650968072
"Corinnidae","Sphecotypus","Sphecotypus niger","mimic",0.227906976744186,0.753488372093023,3.32093023255814,1.08837209302326,0.976744186046512,2.55813953488372,0.409302325581395,6.2093023255814,0.637209302325581,0,0.530232558139535,0.646511627906977,0.832558139534884,0.706976744186047,0.0274018392654579
"Formicidae","-","- -","model",0.168259171581137,1.0929898300192,2.77093457630863,1.13541600539939,1.00884286693372,1.92583138778443,0.128122166409138,4.82315198972383,0.726267729716118,1,0.26521892986041,0.301474082285367,0.171077303625947,0.205214361386739,0.972710650790755
"Formicidae","(Camponotus ??)","(Camponotus ??) (consobrinus ??)","model",0.192132978679328,0.964436821040595,2.67421797963225,1.28971834837298,1.0837778937861,2.36299086020169,0.0946089276688128,5.13181776750276,0.748392870460139,1,0.282025339531492,0.293147222843695,0.167319627779021,0.176524887927677,0.976386240692744
"Formicidae","(Opisthopsis ??)","(Opisthopsis ??) -","model",0.183461521252535,0.908319530048843,2.80063455719867,1.18901430446314,1.11336542415931,2.53995570539928,0.112334008329324,5.45098252335446,0.725708354493531,1,0.235335180793477,0.288792902886501,0.183180170031484,0.178368127700226,0.979814215558142
"Formicidae","Oecophylla","Oecophylla smaragdina","model",0.151648408972353,1.51409363588941,3.20189880020866,1.19101591027647,0.972962962962963,2.08055946791862,0.165226917057903,5.44533776734481,0.773281168492436,1,0.197426969222744,0.264081898800209,0.167606937923839,0.192922535211268,0.974862557319624
"Formicidae","Polyrhachis","Polyrhachis -","model",0.170103092783505,1.06701030927835,2.51030927835052,1.19587628865979,0.871134020618557,1.63917525773196,0.0721649484536083,4.22164948453608,0.690721649484536,1,0.201030927835052,0.262886597938144,0.128865979381443,0.164948453608247,0.97668233444791
"Formicidae","Polyrhachis","Polyrhachis sp.","model",0.191125589639351,1.19175960490621,2.85349429746935,1.36910418614956,1.20761397976613,2.09308611632802,0.0982941356808129,5.04299131030681,0.790858561267103,1,0.301366829743328,0.330905732415158,0.177527752659335,0.184992309892029,0.972147425304995
