"Family","Genus","species","mimicType","Leg.III.Femur..width","Leg.III.Femur..length","Prosoma..width","Prosoma..length","Opisthosoma..width","Opisthosoma..length","Pedicel..length","Body.length","Pedicel.length.body.length","Constriction.height","Prosoma.height","Constriction.width","Prosoma.width","Constriction.height.1","Opisthosoma.height","Constriction.width.1","Opisthosoma.width","Faux.petiole.length","Length.from.constriction.to.spinnerets","accuracy"
"Salticidae","Myrmapeni","Myrmapeni chickeringi","mimic",0.2,0.68,0.7,1.13,0.71,1.44,0.13,2.71,0.05,0.45,0.49,0,0.7,0.45,0.47,0.57,0.71,1.28928571428571,1.60642857142857,0.67529229662739
"Salticidae","Myrmaplata","Myrmaplata plataleoides","mimic",0.26,1.7,1.45,3.09,1.47,3,0.92,7.02,0.13,0.69,1.32,1,1.45,0.6,0.88,0.79,1.47,1.9,2.03,0.655914162083725
"Salticidae","Myrmarachne","Myrmarachne bicolor","mimic",0.225,0.94,1.09,2.44,1.28,2.75,0.25,5.45,0.05,0.918,1.113,1.005,1.1,0.91,1.115,1.04,1.28,1.195,1.99,0.919443789362425
"Salticidae","Myrmarachne","Myrmarachne erythrocephala","mimic",0.285,0.97,1.115,2.265,1.565,2.765,0.255,5.295,0.045,0.97,1.09,1.045,1.14,1.17,1.21,1.29,1.565,1.28928571428571,1.60642857142857,0.842495053307194
"Salticidae","Myrmarachne","Myrmarachne formicaria","mimic",0.24,1.03,1.65,3.46,1.44,2.98,0.34,7.16,0.05,0.89,0.93,0,1.65,1.21,1.26,0,1.44,1.28928571428571,1.60642857142857,0.75267541151868
"Salticidae","Myrmarachne","Myrmarachne helensmithae","mimic",0.21,0.86,1.65,3.09,1.02,2.87,0.32,6.27,0.05,1.08,1.33,1.27,1.65,0.76,0.84,0.91,1.02,1.28928571428571,1.60642857142857,0.84343289926921
"Salticidae","Myrmarachne","Myrmarachne luctuosa","mimic",0.265,1.48,1.495,3.075,1.315,3.195,0.29,6.605,0.045,0.965,1.145,0,1.495,1.394,1.54,1.195,1.315,1.28928571428571,1.60642857142857,0.399811118523043
"Salticidae","Myrmarachne","Myrmarachne macaulayi","mimic",0.15,0.83,0.96,1.84,0.81,2.05,0.27,4.395,0.065,0.585,0.77,0.64,0.89,0.585,0.664,0.565,0.86,1.015,1.37,0.81247314159125
"Salticidae","Myrmarachne","Myrmarachne macleayana","mimic",0.22,0.945,1.115,2.31,1.22,2.495,0.38,4.96,0.075,0.775,1.005,0.955,1.145,1.115,1.16,1.105,1.365,1.28928571428571,1.60642857142857,0.855192417005571
"Salticidae","Myrmarachne","Myrmarachne smaragdina","mimic",0.25,1.52,1.23,2.75,1.5,3.56,0.61,6.84,0.09,0.87,1.33,0.97,1.23,0.97,1.3,1.25,1.5,1.93,2,0.84343289926921
"Corinnidae","Myrmecotypus","Myrmecotypus rettenmeyeri","mimic",0.55,2.87,2.04,5.77,2.51,3.95,0.34,9.85,0.03,1.53,1.67,1.88,2.04,1.7,1.72,2.04,2.51,1.28928571428571,1.60642857142857,0.505650609397428
"Salticidae","Neon","Neon nellii","mimic",0.16,0.56,0.73,0.94,0.95,1.27,0,2.23,0,0,0.52,0,0.73,0,0.636,0,0.95,1.28928571428571,1.60642857142857,0.883875688568927
"Corinnidae","Nucastia","Nucastia supunnoides","mimic",0.37,1.38,1.71,2.84,1.54,3.2,0,6.26,0,0,1.12,0,1.71,0,1.43,0,1.54,1.28928571428571,1.60642857142857,0.886142246969783
"Corinnidae","Nyssus","Nyssus avidus","mimic",0.77,2.24,2.71,3.64,3.06,3.82,0,7.7,0,0,0.959431034482759,0,2.71,0,1.25644642857143,0,3.06,1.28928571428571,1.60642857142857,0.603103153999906
"Corinnidae","Nyssus","Nyssus luteofinis","mimic",0.45,1.25,2.16,2.92,1.9,3.19,0,6.5,0,0,0.959431034482759,0,2.16,0,1.25644642857143,0,1.9,1.28928571428571,1.60642857142857,0.869106734257877
"Corinnidae","Nyssus","Nyssus paradoxus","mimic",0.43,1.45,2.85,3.58,2.96,4.89,0,8.6,0,0,0.959431034482759,0,2.85,0,1.25644642857143,0,2.96,1.28928571428571,1.60642857142857,0.64829654710942
"Corinnidae","Nysuss","Nysuss albopunctatus","mimic",0.72,2.26,2.81,3.81,4.25,5.87,0,9.57,0,0,1.49,0,2.81,0,1.83,0,4.25,1.28928571428571,1.60642857142857,0.439171236966164
"Corinnidae","Nysuss","Nysuss coloripes","mimic",0.46,1.325,1.875,2.4,2.44,3.505,0,6.005,0,0,1.11,0,1.875,0,1.755,0,2.455,1.28928571428571,1.60642857142857,0.831544792386978
"Corinnidae","Nysuss","Nysuss semifuscus","mimic",0.66,2.23,1.8,2.8,1.6,2.8,0.24,5.7,0.04,0,0.98,0,1.8,0,1.77,0,1.6,1.28928571428571,1.60642857142857,0.84343289926921
"Salticidae","Opisthoncus","Opisthoncus quadratarius","mimic",0.6,1.98,3.31,3.82,2.57,3.74,0,7.54,0,0.360096774193548,0.959431034482759,0,3.31,0.525728813559322,1.25644642857143,0,2.57,1.28928571428571,1.60642857142857,0.84343289926921
"Salticidae","Opisthoncus","Opisthoncus sp.","mimic",0.41,1.24,2.05,2.79,1.43,2.94,0,6.01,0,0,1.331,0,2.05,0,1.427,0,1.43,1.28928571428571,1.60642857142857,0.850561688913208
"Corinnidae","Paradiestus","Paradiestus gigantea","mimic",1.51,5.98,6.41,7.78,6.22,11.16,0,18.99,0,0,3.04,0,6.41,0,6.19,0,6.22,1.28928571428571,1.60642857142857,0.84343289926921
"Corinnidae","Poecilipta","Poecilipta gloverae","mimic",0.24,0.77,1.6,3,1.48,2.97,0.17,6.19,0.03,0,0.57,0,1.6,0,0.83,1.37,1.48,1.28928571428571,1.60642857142857,0.380435734924408
"Salticidae","Rhombonotus","Rhombonotus gracilis","mimic",0.09,0.38,0.61,0.99,0.72,1.23,0.1,2.29,0.04,0.41,0.49,0.59,0.61,0.44,0.51,0.59,0.72,0.52,0.93,0.605860882000354
"Corinnidae","Serendib","Serendib suthepica","mimic",0.353770491803279,1.33590163934426,1.29,2.66,1.31,2.33,0.11,4.97,0.02,0.53,0.69,1.05,1.29,0.47,0.47,0.83,1.31,1.28928571428571,1.60642857142857,0.746800449526689
"Corinnidae","Serendib","Serendib volans","mimic",0.23,0.77,1.32,2.02,1.81,2.4,0.56,4.99,0.11,0,0.89,0,1.32,0,1.17,0,1.81,1.28928571428571,1.60642857142857,0.799964117982055
"Corinnidae","Sphecotypus","Sphecotypus niger","mimic",0.49,1.62,2.15,7.14,2.34,5.5,0.88,13.35,0.07,1.14,1.37,1.39,2.15,1.79,2.1,1.52,2.34,2.93,3.01,0
