"angle","species","mimicType","imageabletype","imageableid","created_at","updated_at","id","kingdom","phylum","class","order","family","genus","taxonRank","scientificName","scientificNameAuthorship","vernacularName","bodylength","Ant.mimic.","accuracy"
"Dorsal","Mantid2 sp1","non-mimic","Specimen",454,"2017-08-17 17:54:02 UTC","2017-08-17 17:54:03 UTC",454,"Animalia","Arthropoda","Insecta","Mantodea","Mantidae","Mantid2","Species","Mantid2 sp1","","",14,NA,0.803849999016676
"Dorsal","Mazax pax","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.840300267313358
"Dorsal","Mazax spinosa","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.653315768151227
"Dorsal","Myandra bicincta","mimic","Specimen",512,"2017-03-24 04:25:32 UTC","2017-03-24 04:25:36 UTC",512,"Animalia","Arthropoda","Arachnida","Araneae","Prodidomidae","Myandra","Species","Myandra bicincta","(Simon, 1908)","",1.95,NA,0.701497542657706
"Dorsal","Myrmapana centralis","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.856506770914774
"Dorsal","Myrmapana parallela","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.857194244779434
"Dorsal","Myrmapeni chickeringi","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.836062876625115
"Dorsal","Myrmaplata plataleoides","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.875281639092883
"Dorsal","Myrmarachne bicolor","mimic","Specimen",810,"2017-08-17 18:08:38 UTC","2017-08-17 18:08:41 UTC",810,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne bicolor","(L. Koch, 1879)","",5.8,NA,0.816787426636327
"Dorsal","Myrmarachne erythrocephala","mimic","Specimen",346,"2017-01-06 03:44:56 UTC","2017-01-06 03:44:58 UTC",346,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne erythrocephala","(Koch, 1879)","",5.28333333333333,NA,0.845814125409061
"Dorsal","Myrmarachne formicaria","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.733126933678258
"Dorsal","Myrmarachne helensmithae","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.814536436633091
"Dorsal","Myrmarachne juvenile","mimic","Specimen",523,"2017-04-24 13:00:05 UTC","2017-04-24 13:03:29 UTC",523,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne juvenile","","",3.34,NA,0.839043155507781
"Dorsal","Myrmarachne luctuosa","mimic","Specimen",12,"2017-01-06 03:44:13 UTC","2017-01-06 03:44:14 UTC",12,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne luctuosa","(L. Koch, 1879)","",5.41052631578947,NA,0.838201220368154
"Dorsal","Myrmarachne macaulayi","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.86969408779838
"Dorsal","Myrmarachne macleayana","mimic","Specimen",479,"2017-03-19 23:49:01 UTC","2017-03-19 23:49:05 UTC",479,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Myrmarachne","Species","Myrmarachne macleayana","(Bradley, 1876)","",4.48571428571429,NA,0.84331426117767
"Dorsal","Myrmarachne smaragdina","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.896749278183744
"Dorsal","Myrmecia mandibularis","model","Specimen",566,"2017-04-17 00:58:55 UTC","2017-04-17 00:58:56 UTC",566,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","Species","Myrmecia mandibularis","(Smith, 1858)","",9.85,NA,0.883206782141374
"Dorsal","Myrmecotypus rettenmeyeri","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.805999782825239
"Dorsal","Neon nellii*","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.458334288287296
"Dorsal","Nucastia supunnoides","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.793119092330907
"Dorsal","Nyssus albopunctatus","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.264746931513755
"Dorsal","Nyssus avidus","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.527039093468792
"Dorsal","Nyssus coloripes","non-mimic","Specimen",687,"2017-05-18 23:58:55 UTC","2017-05-18 23:58:57 UTC",687,"Animalia","Arthropoda","Arachnida","Araneae","Corinnidae","Nyssus","Species","Nyssus coloripes","(Walckenaer, 1805)","Orange-legged Swift Spider",5.9,NA,0.607494639354262
"Dorsal","Nyssus luteofinis","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.683434479968886
"Dorsal","Nyssus paradoxus","mimic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",0.673309236935106
"Dorsal","Odontomachus sp1","model","Specimen",433,"2017-03-25 05:16:11 UTC","2017-03-25 05:16:13 UTC",433,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Odontomachus","Species","Odontomachus sp1","","",9.4,NA,0.885131646862453
"Dorsal","Oecophylla smaragdina","model","Specimen",500,"2017-03-21 01:45:15 UTC","2017-03-21 01:45:17 UTC",500,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Oecophylla","Species","Oecophylla smaragdina","(Fabricius, 1775)","Green Tree Ant",6.6,NA,0.824721661192769
"Dorsal","Opisthopsis sp1","model","Specimen",509,"2017-08-19 08:03:17 UTC","2017-08-19 08:03:19 UTC",509,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Opisthopsis","Species","Opisthopsis sp1","","Strobe ant",3.8,NA,0.841506612860032
"Dorsal","Oxyopes elegans","non-mimic","Specimen",260,"2017-01-06 03:44:48 UTC","2017-01-06 03:44:50 UTC",260,"Animalia","Arthropoda","Arachnida","Araneae","Oxyopidae","Oxyopes","Species","Oxyopes elegans","(L. Koch, 1878)","Elegant Lynx Spider",6.9,NA,0.68543652249697
"Dorsal","Poecilipta contorqua","mimic","Specimen",410,"2017-03-26 11:57:10 UTC","2017-03-26 11:57:11 UTC",410,"Animalia","Arthropoda","Arachnida","Araneae","Corinnidae","Poecilipta","Species","Poecilipta contorqua","","",5,NA,0.776831818913377
"Dorsal","Poecilipta kohouti","mimic","Specimen",978,"2017-08-07 09:38:17 UTC","2017-08-07 10:02:24 UTC",978,"Animalia","Arthropoda","Arachnida","Araneae","Corinnidae","Poecilipta","Species","Poecilipta kohouti","(Raven, 2015)","",4.53333333333333,NA,0.794765353330481
"Dorsal","Polyrhachis ammon","model","Specimen",565,"2017-04-17 01:09:06 UTC","2017-04-17 01:09:07 UTC",565,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Polyrhachis","Species","Polyrhachis ammon","(Fabricius, 1775)","",7,NA,0.777944196392833
