"class","family","species","angle","mimicType","webUrl","antennalIllusion","background","right","wrong","accuracy","decisionTimeMean","decisionTimeSD"
"Arachnida","Salticidae","Myrmarachne luctuosa","Dorsal","mimic","images/85.jpg",FALSE,"Natural",100,11,0.0990990990990991,2527.75675675676,1026.8559978375
"Insecta","Formicidae","Idiomyrmex sp.","Lateral","ant","images/A001.jpg",FALSE,"Natural",58,3,0.0491803278688525,2471.31147540984,1087.65519261979
"Insecta","Formicidae","Orectognathus versicolor","Dorsal","ant","images/A002.jpg",FALSE,"Natural",57,14,0.197183098591549,2710.69014084507,1055.40734981535
"Insecta","Formicidae","Polyrhachis rufifemur","Dorsal","ant","images/A003.jpg",FALSE,"Natural",52,10,0.161290322580645,2491.82258064516,1037.56321591638
"Insecta","Formicidae","Polyrhachis rufifemur","Lateral","ant","images/A004.jpg",FALSE,"Natural",60,3,0.0476190476190476,2193.46031746032,955.685294155149
"Insecta","Formicidae","Polyrhachis rufifemur","Lateral","ant","images/A005.jpg",FALSE,"Natural",69,4,0.0547945205479452,2276.17808219178,970.712529572217
"Insecta","Formicidae","Polyrhachis daemeli","Dorsal","ant","images/A006.jpg",FALSE,"Natural",62,2,0.03125,2273.71875,930.077799591868
"Insecta","Formicidae","Myrmecia nigrocincta","Lateral","ant","images/A007.jpg",FALSE,"Natural",63,2,0.0307692307692308,2570.44615384615,1475.29698313985
"Insecta","Formicidae","Myrmecia nigrocincta","Dorsal","ant","images/A008.jpg",FALSE,"Natural",71,2,0.0273972602739726,2253.69863013699,972.422143197814
"Insecta","Formicidae","Myrmecia nigrocincta","Dorsal","ant","images/A009.jpg",FALSE,"Natural",67,2,0.0289855072463768,2525.88405797101,1245.07694702248
"Insecta","Formicidae","Dolichoderus sp.","Anterior","ant","images/A010.jpg",FALSE,"Natural",64,1,0.0153846153846154,2083.64615384615,753.8664178497
"Insecta","Formicidae","Dolichoderus sp.","Dorsal","ant","images/A011.jpg",FALSE,"Natural",61,1,0.0161290322580645,2014.88709677419,901.588599882083
"Arachnida","Corinnidae","Leichhardteus albofasciatus","Dorsal","non-mimic","images/GJA-5324.jpg",FALSE,"Natural",54,0,0,2073.98148148148,714.429987610937
"Arachnida","Sparassidae","Holconia sp","Dorsal","non-mimic","images/IMG_1990.jpg",FALSE,"Natural",98,0,0,1740.81632653061,502.724255687419
"Arachnida","Sparassidae","Holconia sp","Anterior","non-mimic","images/IMG_2003.jpg",FALSE,"Natural",104,3,0.0280373831775701,1991.35514018692,662.593108478027
"Insecta","Formicidae","Polyrhachis sp.","Dorsal","ant","images/IMG_4460.jpg",FALSE,"Natural",55,12,0.17910447761194,2693.34328358209,1131.45605509595
"Insecta","Formicidae","Formicid sp.","Dorsal","ant","images/IMG_4510.jpg",FALSE,"Natural",69,3,0.0416666666666667,2434.63888888889,1071.09108916247
"Insecta","Formicidae","Dolichoderus scabridus","Dorsal","ant","images/IMG_5789.jpg",FALSE,"Natural",62,0,0,2152.3064516129,1000.95406272985
"Insecta","Formicidae","Myrmecia sp.","Dorsal","ant","images/IMG_7019.jpg",FALSE,"Natural",75,0,0,2292.97333333333,947.351856397516
"Insecta","Formicidae","Camponotus sp.","Dorsal","ant","images/IMG_7181.jpg",FALSE,"Natural",74,2,0.0263157894736842,2093.21052631579,785.481972053498
"Insecta","Formicidae","Leptomyrmex sp.","Dorsal","ant","images/IMG_8113.jpg",FALSE,"Natural",50,3,0.0566037735849057,2684.28301886792,1337.43758125176
"Insecta","Formicidae","Dolichoderus scabridus","Dorsal","ant","images/IMG_8184.jpg",FALSE,"Natural",61,4,0.0615384615384615,2191.10769230769,955.891666898584
"Insecta","Formicidae","Formicid sp.","Lateral","ant","images/IMG_8943.jpg",FALSE,"Natural",61,10,0.140845070422535,2439.40845070423,902.71542070838
"Arachnida","Salticidae","Myrmapana plataleoides","Dorsal","mimic","images/s01.jpg",FALSE,"Natural",21,19,0.475,2435.475,1030.83217534085
"Insecta","Formicidae","Formicid sp.","Dorsal","ant","images/s02.jpg",FALSE,"Natural",43,3,0.0652173913043478,2139.10869565217,864.122990944148
"Insecta","Formicidae","Formicid sp.","Lateral","ant","images/s03.jpg",FALSE,"Natural",56,0,0,1943.60714285714,579.555619060341
"Insecta","Formicidae","Formicid sp.","Anterior","ant","images/s04.jpg",FALSE,"Natural",44,3,0.0638297872340425,2133.14893617021,894.454338852645
"Insecta","Formicidae","Formicid sp.","Dorsal","ant","images/s05.jpg",FALSE,"Natural",39,1,0.025,2021.5,844.254427564072
"Insecta","Formicidae","Formicid sp.","Anterior","ant","images/s06.jpg",FALSE,"Natural",44,0,0,1818.81818181818,624.775765271858
"Insecta","Formicidae","Formicid sp.","Lateral","ant","images/s07.jpg",FALSE,"Natural",34,3,0.0810810810810811,1998.37837837838,819.415894652043
"Insecta","Formicidae","Formicid sp.","Anterior","ant","images/s08.jpg",FALSE,"Natural",35,0,0,1809.14285714286,705.82809700451
"Insecta","Formicidae","Formicid sp.","Lateral","ant","images/s09.jpg",FALSE,"Natural",37,2,0.0512820512820513,1989.48717948718,721.013755317903
"Insecta","Formicidae","Formicid sp.","Lateral","ant","images/s10.jpg",FALSE,"Natural",52,1,0.0188679245283019,1783.62264150943,617.028057784156
"Insecta","Formicidae","Formicid sp.","Lateral","ant","images/s11.jpg",FALSE,"Natural",48,0,0,1844.02083333333,579.896890672865
"Insecta","Formicidae","Formicid sp.","Dorsal","ant","images/s12.jpg",FALSE,"Natural",43,0,0,1863.79069767442,577.180196263719
"Insecta","Formicidae","Formicid sp.","Lateral","ant","images/s13.jpg",FALSE,"Natural",46,0,0,1752.95652173913,594.469659314427
"Insecta","Formicidae","Formicid sp.","Lateral","ant","images/s14.jpg",FALSE,"Natural",43,2,0.0444444444444444,1972.71111111111,805.570481714729
"Insecta","Formicidae","Formicid sp.","Dorsal","ant","images/s15.jpg",FALSE,"Natural",49,0,0,1920.5306122449,710.179733765827
"Insecta","Formicidae","Formicid sp.","Lateral","ant","images/s17.jpg",FALSE,"Natural",53,0,0,1808.16981132075,761.419820917805
"Insecta","Formicidae","Formicid sp.","Lateral","ant","images/s20.jpg",FALSE,"Natural",45,1,0.0217391304347826,1979,890.853623092917
"Insecta","Formicidae","Formicid sp.","Lateral","ant","images/s21.jpg",FALSE,"Natural",43,3,0.0652173913043478,1992.80434782609,575.536913366417
"Arachnida","Corinnidae","Aetius nocturnus","Dorsal","mimic","images/s22.jpg",FALSE,"Natural",45,5,0.1,2073.44,819.278855619566
"Arachnida","Corinnidae","Castineira cingulata","Dorsal","mimic","images/Z002.jpg",FALSE,"Natural",66,2,0.0294117647058824,2225.57352941176,915.312560858295
"Arachnida","Corinnidae","Corrinnomma sp.","Dorsal","mimic","images/Z003.jpg",FALSE,"Natural",54,2,0.0357142857142857,1970.19642857143,769.752461264903
"Arachnida","Corinnidae","Corrinnomma sp.","Anterior","mimic","images/Z005.jpg",FALSE,"Natural",54,8,0.129032258064516,2401.04838709677,1251.87593565658
"Arachnida","Corinnidae","Sphecotypus niger","Dorsal","mimic","images/Z010.jpg",FALSE,"Natural",37,30,0.447761194029851,2517.5671641791,1117.52308936733
"Arachnida","Salticidae","Neon nelli","Dorsal","non-mimic","images/Z012.jpg",FALSE,"Natural",67,0,0,1892.82089552239,534.762307021827
"Arachnida","Salticidae","Neon nelli","Lateral","non-mimic","images/Z013.jpg",FALSE,"Natural",65,1,0.0151515151515152,2033.92424242424,974.910856841731
"Arachnida","Salticidae","Neon nelli","Anterior","non-mimic","images/Z014.jpg",FALSE,"Natural",64,0,0,1905.609375,627.471155782707
"Arachnida","Corinnidae","Nyssus avidus","Dorsal","non-mimic","images/Z015.jpg",FALSE,"Natural",65,1,0.0151515151515152,1934.48484848485,625.983515202566
"Arachnida","Salticidae","Abracadabrella elegans","Posterior","non-mimic","images/Z016.jpg",FALSE,"Natural",71,3,0.0405405405405405,2115.43243243243,732.423600786132
"Arachnida","Salticidae","Abracadabrella elegans","Lateral","non-mimic","images/Z017.jpg",FALSE,"Natural",81,0,0,2003.59259259259,683.967283168168
"Arachnida","Salticidae","Abracadabrella elegans","Dorsal","non-mimic","images/Z018.jpg",FALSE,"Natural",74,0,0,1864.66216216216,646.943927976719
"Arachnida","Salticidae","Helpis minitabunda","Dorsal","non-mimic","images/Z019.jpg",FALSE,"Natural",64,0,0,1719.359375,544.087976289185
"Arachnida","Salticidae","Ligonipes lacertosus","Dorsal","mimic","images/Z020.jpg",FALSE,"Natural",56,8,0.125,2260.71875,819.280471555028
"Arachnida","Salticidae","Ligonipes lacertosus","Lateral","mimic","images/Z021.jpg",FALSE,"Natural",64,14,0.179487179487179,2837.58974358974,1327.02373202139
"Arachnida","Corinnidae","Battalus byrneae","Anterior","non-mimic","images/Z022.jpg",FALSE,"Natural",69,2,0.028169014084507,2164.85915492958,732.136331874538
"Arachnida","Corinnidae","Copa kabana","Dorsal","non-mimic","images/Z023.jpg",FALSE,"Natural",75,0,0,1927.85333333333,510.048293774209
"Arachnida","Corinnidae","Disnyssus judidenchae","Dorsal","non-mimic","images/Z024.jpg",FALSE,"Natural",71,1,0.0138888888888889,1979.69444444444,726.754053732477
"Arachnida","Corinnidae","Iridonyssus formicans","Dorsal","non-mimic","images/Z025.jpg",FALSE,"Natural",77,0,0,1983.15584415584,723.297312112258
"Arachnida","Corinnidae","Leichhardteus albofasciatus","Posterior","non-mimic","images/Z026.jpg",FALSE,"Natural",61,0,0,1846.95081967213,794.053911398748
"Arachnida","Corinnidae","Leichhardteus conopalpis","Dorsal","non-mimic","images/Z027.jpg",FALSE,"Natural",76,2,0.0256410256410256,1897.85897435897,483.596932207487
"Arachnida","Salticidae","Ligonipes lacertosus","Lateral","mimic","images/Z028.jpg",FALSE,"Natural",19,39,0.672413793103448,2412.89655172414,1397.37171447291
"Arachnida","Corinnidae","Nyssus coloripes","Dorsal","non-mimic","images/Z032.jpg",FALSE,"Natural",74,0,0,1746.5,525.009438923629
"Arachnida","Corinnidae","Nyssus luteofinis","Lateral","mimic","images/Z033.jpg",FALSE,"Natural",63,2,0.0307692307692308,2299.12307692308,1394.89668644864
"Arachnida","Corinnidae","Nyssus paradoxus","Anterior","non-mimic","images/Z034.jpg",FALSE,"Natural",64,3,0.0447761194029851,2061.59701492537,752.711242064544
"Arachnida","Corinnidae","Nyssus supunnoides","Dorsal","non-mimic","images/Z037.jpg",FALSE,"Natural",63,1,0.015625,2121.5,995.462945664215
"Arachnida","Corinnidae","Nyssus albopunctatus","Dorsal","non-mimic","images/Z038.jpg",FALSE,"Natural",70,0,0,1755.22857142857,519.417655284375
"Arachnida","Corinnidae","Nyssus luteofinis","Lateral","mimic","images/Z039.jpg",FALSE,"Natural",53,12,0.184615384615385,2491,1280.462611715
"Arachnida","Corinnidae","Iridonyssus kohouti","Dorsal","mimic","images/Z040.jpg",FALSE,"Natural",64,5,0.072463768115942,2521.04347826087,1017.82440174508
"Arachnida","Corinnidae","Nyssus coloripes","Lateral","mimic","images/Z041.jpg",FALSE,"Natural",69,2,0.028169014084507,2112.91549295775,916.466814089833
